day,open,high,low,close,volume
2024-06-04 10:10:00,11.05,11.05,11.03,11.04,916700
2024-06-04 10:11:00,11.04,11.05,11.03,11.04,844708
2024-06-04 10:12:00,11.04,11.04,11.03,11.04,249027
2024-06-04 10:13:00,11.04,11.04,11.03,11.03,499100
2024-06-04 10:14:00,11.04,11.04,11.02,11.02,628465
2024-06-04 10:15:00,11.02,11.03,11.02,11.02,128800
2024-06-04 10:16:00,11.03,11.03,11.02,11.03,311600
2024-06-04 10:17:00,11.02,11.03,11.02,11.02,86700
2024-06-04 10:18:00,11.03,11.03,11.01,11.02,568000
2024-06-04 10:19:00,11.01,11.02,11.01,11.01,484100
2024-06-04 10:20:00,11.01,11.01,11.0,11.0,249400
2024-06-04 10:21:00,11.0,11.01,10.99,11.0,1010900
2024-06-04 10:22:00,11.01,11.01,11.0,11.01,254700
2024-06-04 10:23:00,11.0,11.01,10.99,10.99,543700
2024-06-04 10:24:00,11.0,11.01,10.99,11.01,387800
2024-06-04 10:25:00,11.01,11.01,11.0,11.01,284900
2024-06-04 10:26:00,11.0,11.01,11.0,11.01,93300
2024-06-04 10:27:00,11.01,11.01,11.0,11.01,390100
2024-06-04 10:28:00,11.0,11.02,11.0,11.01,682600
2024-06-04 10:29:00,11.0,11.01,11.0,11.0,236600
2024-06-04 10:30:00,11.0,11.01,10.99,11.0,955700
2024-06-04 10:31:00,10.99,11.01,10.99,11.0,224000
2024-06-04 10:32:00,11.01,11.01,11.0,11.0,81700
2024-06-04 10:33:00,11.0,11.01,11.0,11.01,97800
2024-06-04 10:34:00,11.01,11.01,11.0,11.01,70200
2024-06-04 10:35:00,11.01,11.02,11.0,11.01,322300
2024-06-04 10:36:00,11.01,11.02,11.0,11.0,365100
2024-06-04 10:37:00,11.0,11.01,11.0,11.01,85600
2024-06-04 10:38:00,11.01,11.01,10.99,11.0,575700
2024-06-04 10:39:00,10.99,11.0,10.99,10.99,111500
2024-06-04 10:40:00,10.99,11.0,10.99,10.99,463100
2024-06-04 10:41:00,11.0,11.0,10.99,11.0,93500
2024-06-04 10:42:00,11.0,11.0,10.99,10.99,369200
2024-06-04 10:43:00,10.99,11.01,10.99,11.0,502787
2024-06-04 10:44:00,11.0,11.01,11.0,11.01,66900
2024-06-04 10:45:00,11.01,11.01,11.0,11.01,194500
2024-06-04 10:46:00,11.01,11.03,11.0,11.02,715400
2024-06-04 10:47:00,11.03,11.03,11.02,11.03,138600
2024-06-04 10:48:00,11.03,11.03,11.02,11.02,59000
2024-06-04 10:49:00,11.02,11.03,11.02,11.03,95100
2024-06-04 10:50:00,11.03,11.03,11.02,11.02,76800
2024-06-04 10:51:00,11.02,11.03,11.02,11.03,123900
2024-06-04 10:52:00,11.03,11.03,11.02,11.02,84000
2024-06-04 10:53:00,11.02,11.03,11.02,11.03,402200
2024-06-04 10:54:00,11.02,11.03,11.01,11.01,390300
2024-06-04 10:55:00,11.02,11.02,11.01,11.01,172300
2024-06-04 10:56:00,11.02,11.02,11.01,11.02,39900
2024-06-04 10:57:00,11.02,11.02,11.01,11.02,131100
2024-06-04 10:58:00,11.02,11.02,11.01,11.02,112400
2024-06-04 10:59:00,11.02,11.03,11.01,11.03,199000
2024-06-04 11:00:00,11.03,11.03,11.02,11.03,69800
2024-06-04 11:01:00,11.02,11.03,11.02,11.02,307100
2024-06-04 11:02:00,11.03,11.03,11.02,11.03,257400
2024-06-04 11:03:00,11.03,11.05,11.03,11.04,1461873
2024-06-04 11:04:00,11.04,11.05,11.03,11.05,404800
